Genes,Description,Enrichment,pValue
K1C14,"Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4",8.961096813,0.040228648
ATX2,Ataxin-2 OS=Homo sapiens GN=ATXN2 PE=1 SV=2,5.657973376,0.003485172
NFX1,Transcriptional repressor NF-X1 OS=Homo sapiens GN=NFX1 PE=1 SV=2,4.368096907,0.005533401
PRC2A,Protein PRRC2A OS=Homo sapiens GN=PRRC2A PE=1 SV=3,4.634736937,0.005112329
FUBP3,Far upstream element-binding protein 3 OS=Homo sapiens GN=FUBP3 PE=1 SV=2,4.447594561,0.004576182
SMG1,Serine/threonine-protein kinase SMG1 OS=Homo sapiens GN=SMG1 PE=1 SV=3,5.528740756,0.009827453
CE350,Centrosome-associated protein 350 OS=Homo sapiens GN=CEP350 PE=1 SV=1,6.746231809,0.011367467
ECH1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Homo sapiens GN=ECH1 PE=1 SV=2",3.974035073,0.030829235
SMG9,Protein SMG9 OS=Homo sapiens GN=SMG9 PE=1 SV=1,5.540835648,0.015190317
PRC2B,Protein PRRC2B OS=Homo sapiens GN=PRRC2B PE=1 SV=2,6.453399757,0.017556788
LSM12,Protein LSM12 homolog OS=Homo sapiens GN=LSM12 PE=1 SV=2,11.00243932,0.02801898
OTUD4,OTU domain-containing protein 4 OS=Homo sapiens GN=OTUD4 PE=1 SV=4,8.523911091,0.024943302
AGO2,Protein argonaute-2 OS=Homo sapiens GN=AGO2 PE=1 SV=3,4.472446998,0.017141282
AKAP9,A-kinase anchor protein 9 OS=Homo sapiens GN=AKAP9 PE=1 SV=3,5.187659152,0.023669257
TNR6A,Trinucleotide repeat-containing gene 6A protein OS=Homo sapiens GN=TNRC6A PE=1 SV=2,4.959031038,0.051393818
PCM1,Pericentriolar material 1 protein OS=Homo sapiens GN=PCM1 PE=1 SV=4,6.200340522,0.054754311
CAPR1,Caprin-1 OS=Homo sapiens GN=CAPRIN1 PE=1 SV=2,4.124303701,0.062155369
ZN598,E3 ubiquitin-protein ligase ZNF598 OS=Homo sapiens GN=ZNF598 PE=1 SV=1,5.125358513,0.071866973
ARFG2,ADP-ribosylation factor GTPase-activating protein 2 OS=Homo sapiens GN=ARFGAP2 PE=1 SV=1,4.256332171,0.076220724
CE192,Centrosomal protein of 192 kDa OS=Homo sapiens GN=CEP192 PE=1 SV=2,4.733740994,0.089771635
APC,Adenomatous polyposis coli protein OS=Homo sapiens GN=APC PE=1 SV=2,4.412980361,0.091774585
PUM1,Pumilio homolog 1 OS=Homo sapiens GN=PUM1 PE=1 SV=3,4.255716121,0.09451252
SC16A,Protein transport protein Sec16A OS=Homo sapiens GN=SEC16A PE=1 SV=3,3.864882471,0.098946634
IBTK,Inhibitor of Bruton tyrosine kinase OS=Homo sapiens GN=IBTK PE=1 SV=3,3.842936165,0.008968949
K1C16,"Keratin, type I cytoskeletal 16 OS=Homo sapiens GN=KRT16 PE=1 SV=4",3.810719989,0.016305418
R3HD1,R3H domain-containing protein 1 OS=Homo sapiens GN=R3HDM1 PE=1 SV=3,3.810250488,0.043040714
MOV10,Putative helicase MOV-10 OS=Homo sapiens GN=MOV10 PE=1 SV=2,3.79326766,0.000285752
HNRPQ,Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens GN=SYNCRIP PE=1 SV=2,3.780510368,3.34E-06
IPO8,Importin-8 OS=Homo sapiens GN=IPO8 PE=1 SV=2,3.776459303,0.000204718
PRC2C,Protein PRRC2C OS=Homo sapiens GN=PRRC2C PE=1 SV=4,3.733214929,0.01321235
4ET,Eukaryotic translation initiation factor 4E transporter OS=Homo sapiens GN=EIF4ENIF1 PE=1 SV=2,3.717429885,0.02392787
ACACB,Acetyl-CoA carboxylase 2 OS=Homo sapiens GN=ACACB PE=1 SV=3,3.633737232,0.000694435
CAMP3,Calmodulin-regulated spectrin-associated protein 3 OS=Homo sapiens GN=CAMSAP3 PE=1 SV=2,3.613912543,0.109505533
PAN3,PAN2-PAN3 deadenylation complex subunit PAN3 OS=Homo sapiens GN=PAN3 PE=1 SV=3,3.611294513,0.013661017
ECHB,"Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens GN=HADHB PE=1 SV=3",3.607166201,0.103197219
YTDC2,Probable ATP-dependent RNA helicase YTHDC2 OS=Homo sapiens GN=YTHDC2 PE=1 SV=2,3.604695406,9.50E-06
NAMPT,Nicotinamide phosphoribosyltransferase OS=Homo sapiens GN=NAMPT PE=1 SV=1,3.582445125,0.003317925
SR1IP,Protein SREK1IP1 OS=Homo sapiens GN=SREK1IP1 PE=1 SV=1,3.555805777,0.120188428
RL27A,60S ribosomal protein L27a OS=Homo sapiens GN=RPL27A PE=1 SV=2,3.523463941,7.49E-05
WNK1,Serine/threonine-protein kinase WNK1 OS=Homo sapiens GN=WNK1 PE=1 SV=2,3.51747578,0.158025546
TT30A,Tetratricopeptide repeat protein 30A OS=Homo sapiens GN=TTC30A PE=2 SV=3,3.479491828,0.012968997
K22E,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2",3.459695089,0.017492316
RBNS5,Rabenosyn-5 OS=Homo sapiens GN=RBSN PE=1 SV=2,3.429678072,0.000402821
TTC28,Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4,3.40023359,0.096024916
NP1L4,Nucleosome assembly protein 1-like 4 OS=Homo sapiens GN=NAP1L4 PE=1 SV=1,3.384507919,0.000770006
GEMI4,Gem-associated protein 4 OS=Homo sapiens GN=GEMIN4 PE=1 SV=2,3.362187113,0.017846935
RACK1,Receptor of activated protein C kinase 1 OS=Homo sapiens GN=RACK1 PE=1 SV=3,3.354245826,0.001197369
SYQ,Glutamine--tRNA ligase OS=Homo sapiens GN=QARS PE=1 SV=1,3.35381547,0.001145442
PDC6I,Programmed cell death 6-interacting protein OS=Homo sapiens GN=PDCD6IP PE=1 SV=1,3.347097583,0.008663095
NP1L1,Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=1 SV=1,3.345220168,0.010245476
DDX6,Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens GN=DDX6 PE=1 SV=2,3.339812454,0.00906982
MCCB,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens GN=MCCC2 PE=1 SV=1",3.328750761,9.64E-05
LUZP1,Leucine zipper protein 1 OS=Homo sapiens GN=LUZP1 PE=1 SV=2,3.271684506,0.132465182
PRPS1,Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens GN=PRPS1 PE=1 SV=2,3.220292723,0.000146381
TBB6,Tubulin beta-6 chain OS=Homo sapiens GN=TUBB6 PE=1 SV=1,3.174211248,0.077041237
CEP55,Centrosomal protein of 55 kDa OS=Homo sapiens GN=CEP55 PE=1 SV=3,3.168531255,0.000189873
IF2B2,Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens GN=IGF2BP2 PE=1 SV=2,3.160660005,8.88E-05
ANR28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens GN=ANKRD28 PE=1 SV=5,3.145293167,2.93E-05
CSDE1,Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1 PE=1 SV=2,3.074020224,0.000523187
SUCA,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens GN=SUCLG1 PE=1 SV=4",3.019066693,0.002200605
ECM29,Proteasome-associated protein ECM29 homolog OS=Homo sapiens GN=ECM29 PE=1 SV=2,3.008480458,0.005032208
TOM40,Mitochondrial import receptor subunit TOM40 homolog OS=Homo sapiens GN=TOMM40 PE=1 SV=1,2.956934657,0.00135431
SEBP2,Selenocysteine insertion sequence-binding protein 2 OS=Homo sapiens GN=SECISBP2 PE=1 SV=2,2.94584949,0.155349181
RB3GP,Rab3 GTPase-activating protein catalytic subunit OS=Homo sapiens GN=RAB3GAP1 PE=1 SV=3,2.941367684,0.014884008
IF2B1,Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens GN=IGF2BP1 PE=1 SV=2,2.901229798,0.000261156
IFT56,Intraflagellar transport protein 56 OS=Homo sapiens GN=TTC26 PE=2 SV=1,2.894763747,2.27E-05
TXTP,"Tricarboxylate transport protein, mitochondrial OS=Homo sapiens GN=SLC25A1 PE=1 SV=2",2.891927053,0.016824757
RS4X,"40S ribosomal protein S4, X isoform OS=Homo sapiens GN=RPS4X PE=1 SV=2",2.873470197,0.013675552
PAIRB,Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens GN=SERBP1 PE=1 SV=2,2.869361844,0.000744883
RBM14,RNA-binding protein 14 OS=Homo sapiens GN=RBM14 PE=1 SV=2,2.854144673,0.165821308
CEP85,Centrosomal protein of 85 kDa OS=Homo sapiens GN=CEP85 PE=1 SV=1,2.829783201,0.089696527
K1C10,"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6",2.829441569,0.066882158
K2C5,"Keratin, type II cytoskeletal 5 OS=Homo sapiens GN=KRT5 PE=1 SV=3",2.791336839,0.002939776
SYIC,"Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=IARS PE=1 SV=2",2.769135545,0.002316228
HAUS7,HAUS augmin-like complex subunit 7 OS=Homo sapiens GN=HAUS7 PE=1 SV=3,2.768768976,0.016208043
NKAP,NF-kappa-B-activating protein OS=Homo sapiens GN=NKAP PE=1 SV=1,2.768714497,0.01620893
IF4E,Eukaryotic translation initiation factor 4E OS=Homo sapiens GN=EIF4E PE=1 SV=2,2.752772014,0.000543677
FXR2,Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens GN=FXR2 PE=1 SV=2,2.742491922,0.00043888
DHX36,ATP-dependent RNA helicase DHX36 OS=Homo sapiens GN=DHX36 PE=1 SV=2,2.741225368,0.017712912
CMC2,Calcium-binding mitochondrial carrier protein Aralar2 OS=Homo sapiens GN=SLC25A13 PE=1 SV=2,2.732210029,5.03E-05
ROA0,Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens GN=HNRNPA0 PE=1 SV=1,2.721523862,0.000501826
DD19B,ATP-dependent RNA helicase DDX19B OS=Homo sapiens GN=DDX19B PE=1 SV=1,2.719584141,0.004541663
LRC40,Leucine-rich repeat-containing protein 40 OS=Homo sapiens GN=LRRC40 PE=1 SV=1,2.694446787,0.015155691
LC7L2,Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens GN=LUC7L2 PE=1 SV=2,2.691620129,0.000195198
CRBG3,Very large A-kinase anchor protein OS=Homo sapiens GN=CRYBG3 PE=1 SV=3,2.686165594,0.199261658
ASCC3,Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens GN=ASCC3 PE=1 SV=3,2.685055463,8.39E-05
K2C1,"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6",2.676285414,0.046600151
SMC3,Structural maintenance of chromosomes protein 3 OS=Homo sapiens GN=SMC3 PE=1 SV=2,2.670105856,2.05E-05
RS16,40S ribosomal protein S16 OS=Homo sapiens GN=RPS16 PE=1 SV=2,2.661866904,0.000429171
RUFY1,RUN and FYVE domain-containing protein 1 OS=Homo sapiens GN=RUFY1 PE=1 SV=2,2.644587464,0.277536755
K1C9,"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3",2.643849778,0.021259078
ATX2L,Ataxin-2-like protein OS=Homo sapiens GN=ATXN2L PE=1 SV=2,2.631242833,0.018578572
DIC,Mitochondrial dicarboxylate carrier OS=Homo sapiens GN=SLC25A10 PE=1 SV=2,2.630557607,0.003507724
ABCF2,ATP-binding cassette sub-family F member 2 OS=Homo sapiens GN=ABCF2 PE=1 SV=2,2.630209344,0.001174726
DC1L1,Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens GN=DYNC1LI1 PE=1 SV=3,2.629175726,0.019669372
IPO7,Importin-7 OS=Homo sapiens GN=IPO7 PE=1 SV=1,2.599917725,0.002101294
SYMC,"Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=MARS PE=1 SV=2",2.593617289,0.000632051
RS11,40S ribosomal protein S11 OS=Homo sapiens GN=RPS11 PE=1 SV=3,2.592383702,0.000934033
ERLN2,Erlin-2 OS=Homo sapiens GN=ERLIN2 PE=1 SV=1,2.58245704,0.001273185
UBP10,Ubiquitin carboxyl-terminal hydrolase 10 OS=Homo sapiens GN=USP10 PE=1 SV=2,2.571167748,0.03711803
SUCB1,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Homo sapiens GN=SUCLA2 PE=1 SV=3",2.558283699,0.011538812
IFT46,Intraflagellar transport protein 46 homolog OS=Homo sapiens GN=IFT46 PE=1 SV=1,2.555449671,0.00078525
PRS4,26S proteasome regulatory subunit 4 OS=Homo sapiens GN=PSMC1 PE=1 SV=1,2.549494481,0.291528584
GRDN,Girdin OS=Homo sapiens GN=CCDC88A PE=1 SV=2,2.547820567,0.13983086
PKHA5,Pleckstrin homology domain-containing family A member 5 OS=Homo sapiens GN=PLEKHA5 PE=1 SV=1,2.543858422,0.147783583
RS15A,40S ribosomal protein S15a OS=Homo sapiens GN=RPS15A PE=1 SV=2,2.534350789,0.007018062
RPN2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens GN=RPN2 PE=1 SV=3,2.5329989,0.000231925
NMD3,60S ribosomal export protein NMD3 OS=Homo sapiens GN=NMD3 PE=1 SV=1,2.526629183,0.011224902
KIF1B,Kinesin-like protein KIF1B OS=Homo sapiens GN=KIF1B PE=1 SV=5,2.524703557,0.00873409
DYHC1,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5,2.521395805,0.001247774
ZCCHV,Zinc finger CCCH-type antiviral protein 1 OS=Homo sapiens GN=ZC3HAV1 PE=1 SV=3,2.517428063,5.14E-05
KC1E,Casein kinase I isoform epsilon OS=Homo sapiens GN=CSNK1E PE=1 SV=1,2.515399943,0.006472122
ANR17,Ankyrin repeat domain-containing protein 17 OS=Homo sapiens GN=ANKRD17 PE=1 SV=3,2.511233352,0.27139686
IFT22,Intraflagellar transport protein 22 homolog OS=Homo sapiens GN=IFT22 PE=1 SV=1,2.510446951,0.008502293
DCTN1,Dynactin subunit 1 OS=Homo sapiens GN=DCTN1 PE=1 SV=3,2.508101354,0.075934499
TTK,Dual specificity protein kinase TTK OS=Homo sapiens GN=TTK PE=1 SV=2,2.501636425,0.219553608
RL28,60S ribosomal protein L28 OS=Homo sapiens GN=RPL28 PE=1 SV=3,2.499569731,0.003377506
SERPH,Serpin H1 OS=Homo sapiens GN=SERPINH1 PE=1 SV=2,2.494715533,0.172037929
K2C6A,"Keratin, type II cytoskeletal 6A OS=Homo sapiens GN=KRT6A PE=1 SV=3",2.492501431,0.040233923
IF2B3,Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens GN=IGF2BP3 PE=1 SV=2,2.481573635,0.00241206
PP6R1,Serine/threonine-protein phosphatase 6 regulatory subunit 1 OS=Homo sapiens GN=PPP6R1 PE=1 SV=5,2.480638925,0.002016111
PPP6,Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens GN=PPP6C PE=1 SV=1,2.477334303,0.000176404
DI3L1,DIS3-like exonuclease 1 OS=Homo sapiens GN=DIS3L PE=1 SV=2,2.459151638,0.243358527
VPS45,Vacuolar protein sorting-associated protein 45 OS=Homo sapiens GN=VPS45 PE=1 SV=1,2.453165419,0.012693526
RL15,60S ribosomal protein L15 OS=Homo sapiens GN=RPL15 PE=1 SV=2,2.444726506,0.000239307
SCYL2,SCY1-like protein 2 OS=Homo sapiens GN=SCYL2 PE=1 SV=1,2.439332881,0.332143325
IFT74,Intraflagellar transport protein 74 homolog OS=Homo sapiens GN=IFT74 PE=1 SV=1,2.43367183,0.013777768
TIM50,Mitochondrial import inner membrane translocase subunit TIM50 OS=Homo sapiens GN=TIMM50 PE=1 SV=2,2.429335639,0.010726312
NUFP2,Nuclear fragile X mental retardation-interacting protein 2 OS=Homo sapiens GN=NUFIP2 PE=1 SV=1,2.41562399,0.047424079
ATPB,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3",2.41477869,0.05123336
DJC13,DnaJ homolog subfamily C member 13 OS=Homo sapiens GN=DNAJC13 PE=1 SV=5,2.395558338,0.003962724
GGYF2,GRB10-interacting GYF protein 2 OS=Homo sapiens GN=GIGYF2 PE=1 SV=1,2.390311006,0.000771603
DIM1,Probable dimethyladenosine transferase OS=Homo sapiens GN=DIMT1 PE=1 SV=1,2.386465861,0.000414658
PCH2,Pachytene checkpoint protein 2 homolog OS=Homo sapiens GN=TRIP13 PE=1 SV=2,2.369029527,0.000365554
SSRD,Translocon-associated protein subunit delta OS=Homo sapiens GN=SSR4 PE=1 SV=1,2.365258346,0.001601058
TWF2,Twinfilin-2 OS=Homo sapiens GN=TWF2 PE=1 SV=2,2.359256968,0.173518074
SYEP,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5,2.357995343,0.000278995
CKAP5,Cytoskeleton-associated protein 5 OS=Homo sapiens GN=CKAP5 PE=1 SV=3,2.348344137,0.026081763
ANKH1,Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens GN=ANKHD1 PE=1 SV=1,2.346760734,0.060625101
DNJA3,"DnaJ homolog subfamily A member 3, mitochondrial OS=Homo sapiens GN=DNAJA3 PE=1 SV=2",2.346141106,0.008913768
RTCB,tRNA-splicing ligase RtcB homolog OS=Homo sapiens GN=RTCB PE=1 SV=1,2.333400977,0.001473552
XRN1,5'-3' exoribonuclease 1 OS=Homo sapiens GN=XRN1 PE=1 SV=1,2.326601116,0.015904064
HAUS5,HAUS augmin-like complex subunit 5 OS=Homo sapiens GN=HAUS5 PE=1 SV=2,2.307272112,0.018058332
SFXN1,Sideroflexin-1 OS=Homo sapiens GN=SFXN1 PE=1 SV=4,2.302353862,0.005915056
DHX57,Putative ATP-dependent RNA helicase DHX57 OS=Homo sapiens GN=DHX57 PE=1 SV=2,2.297187583,0.010699161
PSDE,26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens GN=PSMD14 PE=1 SV=1,2.296907696,0.003250509
IF4B,Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=1 SV=2,2.29327617,0.000308486
PSA4,Proteasome subunit alpha type-4 OS=Homo sapiens GN=PSMA4 PE=1 SV=1,2.29033178,0.000453702
IF4A1,Eukaryotic initiation factor 4A-I OS=Homo sapiens GN=EIF4A1 PE=1 SV=1,2.289096183,1.90E-05
TNR6B,Trinucleotide repeat-containing gene 6B protein OS=Homo sapiens GN=TNRC6B PE=1 SV=4,2.277456802,0.134017313
DHX30,Putative ATP-dependent RNA helicase DHX30 OS=Homo sapiens GN=DHX30 PE=1 SV=1,2.276874385,0.001796574
HAUS3,HAUS augmin-like complex subunit 3 OS=Homo sapiens GN=HAUS3 PE=1 SV=1,2.273620025,0.014333336
CDK2,Cyclin-dependent kinase 2 OS=Homo sapiens GN=CDK2 PE=1 SV=2,2.263382603,0.010365453
IF4G2,Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens GN=EIF4G2 PE=1 SV=1,2.259742663,0.002671472
RL18A,60S ribosomal protein L18a OS=Homo sapiens GN=RPL18A PE=1 SV=2,2.251766923,1.62E-05
QCR2,"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens GN=UQCRC2 PE=1 SV=3",2.251679147,0.002767693
HNRPD,Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens GN=HNRNPD PE=1 SV=1,2.24811219,0.001062268
CP131,Centrosomal protein of 131 kDa OS=Homo sapiens GN=CEP131 PE=1 SV=3,2.242187713,0.350179375
RP9,Retinitis pigmentosa 9 protein OS=Homo sapiens GN=RP9 PE=1 SV=2,2.228621073,0.207088794
RN219,RING finger protein 219 OS=Homo sapiens GN=RNF219 PE=1 SV=1,2.212695086,0.001132682
TKT,Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3,2.210696246,0.004903935
PELO,Protein pelota homolog OS=Homo sapiens GN=PELO PE=1 SV=2,2.208529065,0.151995775
EIF3E,Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens GN=EIF3E PE=1 SV=1,2.178842593,0.002678578
C1TM,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens GN=MTHFD1L PE=1 SV=1",2.165320417,0.126956462
NBN,Nibrin OS=Homo sapiens GN=NBN PE=1 SV=1,2.16171951,0.29980757
RL7,60S ribosomal protein L7 OS=Homo sapiens GN=RPL7 PE=1 SV=1,2.161069749,0.00031893
IFT81,Intraflagellar transport protein 81 homolog OS=Homo sapiens GN=IFT81 PE=1 SV=1,2.159415396,0.000965971
CLAP2,CLIP-associating protein 2 OS=Homo sapiens GN=CLASP2 PE=1 SV=2,2.153132391,0.346992859
RL13A,60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2,2.150546356,0.009290073
DDX1,ATP-dependent RNA helicase DDX1 OS=Homo sapiens GN=DDX1 PE=1 SV=2,2.1479663,0.000468585
HAUS8,HAUS augmin-like complex subunit 8 OS=Homo sapiens GN=HAUS8 PE=1 SV=3,2.133187537,0.000603322
CDK1,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3,2.12910668,0.001003004
PTGR3,Prostaglandin reductase 3 OS=Homo sapiens GN=ZADH2 PE=1 SV=1,2.122478955,0.04275377
LC7L3,Luc7-like protein 3 OS=Homo sapiens GN=LUC7L3 PE=1 SV=2,2.121062746,0.000760472
YJ005,Uncharacterized protein FLJ45252 OS=Homo sapiens PE=2 SV=2,2.120507141,0.400905802
MACF1,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=1 SV=4",2.120436885,0.270802159
VP33B,Vacuolar protein sorting-associated protein 33B OS=Homo sapiens GN=VPS33B PE=1 SV=2,2.111355316,0.034738433
XPO1,Exportin-1 OS=Homo sapiens GN=XPO1 PE=1 SV=1,2.093568673,0.007288405
YBOX1,Nuclease-sensitive element-binding protein 1 OS=Homo sapiens GN=YBX1 PE=1 SV=3,2.092447167,0.000116554
SURF4,Surfeit locus protein 4 OS=Homo sapiens GN=SURF4 PE=1 SV=3,2.073311438,0.015655856
PFKAL,"ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens GN=PFKL PE=1 SV=6",2.072332072,0.013996576
43345,Septin-2 OS=Homo sapiens GN=SEPT2 PE=1 SV=1,2.072242729,0.010462802
RL11,60S ribosomal protein L11 OS=Homo sapiens GN=RPL11 PE=1 SV=2,2.052648692,0.009672854
VPS51,Vacuolar protein sorting-associated protein 51 homolog OS=Homo sapiens GN=VPS51 PE=1 SV=2,2.052060022,0.001597046
AT1A1,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1,2.045311433,0.013419576
EIF3A,Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens GN=EIF3A PE=1 SV=1,2.042274105,5.20E-05
RL23,60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1,2.038388456,0.000222858
ABCD3,ATP-binding cassette sub-family D member 3 OS=Homo sapiens GN=ABCD3 PE=1 SV=1,2.028104474,0.070048918
HNRPC,Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC PE=1 SV=4,2.02749288,0.057782504
EIF3G,Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens GN=EIF3G PE=1 SV=2,2.02430763,0.000143624
CAND1,Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2,2.021381392,0.014118564
PYGB,"Glycogen phosphorylase, brain form OS=Homo sapiens GN=PYGB PE=1 SV=5",2.019440666,0.000669375
STRAP,Serine-threonine kinase receptor-associated protein OS=Homo sapiens GN=STRAP PE=1 SV=1,2.018684493,0.001071451
STML2,"Stomatin-like protein 2, mitochondrial OS=Homo sapiens GN=STOML2 PE=1 SV=1",2.015122704,0.005581352
PCBP2,Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1,2.009308902,0.0028938
MARE2,Microtubule-associated protein RP/EB family member 2 OS=Homo sapiens GN=MAPRE2 PE=1 SV=1,2.003026956,0.122079333
EIF3F,Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=1 SV=1,2.000043405,0.034567469
EIF3D,Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens GN=EIF3D PE=1 SV=1,1.994475242,0.003725629
PYC,"Pyruvate carboxylase, mitochondrial OS=Homo sapiens GN=PC PE=1 SV=2",1.987666935,6.89E-06
MTAP,S-methyl-5'-thioadenosine phosphorylase OS=Homo sapiens GN=MTAP PE=1 SV=2,1.984898848,0.078104275
HNRDL,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRNPDL PE=1 SV=3,1.980055914,0.00170693
ADT2,ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=7,1.977838407,5.35E-05
PHB,Prohibitin OS=Homo sapiens GN=PHB PE=1 SV=1,1.977006531,0.000377132
RL31,60S ribosomal protein L31 OS=Homo sapiens GN=RPL31 PE=1 SV=1,1.967193013,0.045371105
NT5D2,5'-nucleotidase domain-containing protein 2 OS=Homo sapiens GN=NT5DC2 PE=1 SV=1,1.964853771,0.026923672
IF4G3,Eukaryotic translation initiation factor 4 gamma 3 OS=Homo sapiens GN=EIF4G3 PE=1 SV=2,1.954160293,0.029728487
IF2G,Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens GN=EIF2S3 PE=1 SV=3,1.952414288,0.018200565
SYFA,Phenylalanine--tRNA ligase alpha subunit OS=Homo sapiens GN=FARSA PE=1 SV=3,1.947084639,0.00811522
IFT52,Intraflagellar transport protein 52 homolog OS=Homo sapiens GN=IFT52 PE=1 SV=3,1.939654711,0.023013819
CNOT1,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2,1.933976067,0.005846558
EIF3M,Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens GN=EIF3M PE=1 SV=1,1.933213642,0.063006206
FR1OP,FGFR1 oncogene partner OS=Homo sapiens GN=FGFR1OP PE=1 SV=1,1.929944369,0.00580632
AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens GN=AHSA1 PE=1 SV=1,1.928759249,0.017393909
HIG1A,"HIG1 domain family member 1A, mitochondrial OS=Homo sapiens GN=HIGD1A PE=1 SV=1",1.9229355,0.094929894
UN45A,Protein unc-45 homolog A OS=Homo sapiens GN=UNC45A PE=1 SV=1,1.92072954,0.016444727
NAV1,Neuron navigator 1 OS=Homo sapiens GN=NAV1 PE=1 SV=2,1.918650088,0.43807775
CNOT2,CCR4-NOT transcription complex subunit 2 OS=Homo sapiens GN=CNOT2 PE=1 SV=1,1.910462142,0.086103822
P5CR2,Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens GN=PYCR2 PE=1 SV=1,1.908919792,0.044460257
C1TC,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3",1.908616355,0.02589518
RAN,GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3,1.905585371,3.18E-05
RS7,40S ribosomal protein S7 OS=Homo sapiens GN=RPS7 PE=1 SV=1,1.903617262,0.000804919
